x_g,y_g,z_g
-0.0156,0,1.0062
0,0,0.9984
0,-0.0156,1.0218
0,-0.0156,0.9984
0,0,1.0296
0,-0.0078,0.9984
0.0078,-0.0078,1.014
0,-0.0156,1.0062
0,-0.0156,0.9906
0.0312,-0.0156,1.0374
0,-0.0156,1.0062
0,-0.0078,1.014
-0.0234,-0.0156,1.053
0,0.0078,1.0218
0,-0.0156,1.0452
0,-0.0156,1.0062
0,-0.0156,1.0374
0,-0.0078,1.0218
0,-0.0156,0.9906
0,0.0078,1.014
0,-0.0156,0.9828
0.0078,0.0078,0.9828
-0.0156,0,0.9984
0.0078,-0.0156,1.0842
0,-0.0078,1.0218
0,-0.0156,1.014
0,0,0.9906
0,0,1.014
0,0,0.9828
0,-0.0078,0.9906
0,0,0.9984
0,-0.0156,0.9906
0,-0.0156,0.9984
0,-0.0156,0.975
0,0,1.0452
0,0,1.0062
0.0078,-0.0156,1.0062
-0.0234,0,1.014
0,0,0.858
0,-0.0078,1.0374
0,-0.0078,0.9906
0.0156,-0.0156,1.1622
0,-0.0078,1.0296
0,-0.0078,0.9906
0,0,1.0062
0,-0.0078,1.014
0,0.0156,1.0218
0,-0.0078,0.9906
0,-0.0078,1.014
0,0,1.0062
0,-0.0156,1.0062
0,0,1.0218
0,0.0078,0.9906
0,-0.0078,1.0296
0,0.0078,1.0374
0,0.0156,0.9984
0,-0.0156,1.014
0,0.0078,1.0296
0,0,0.9828
0.0078,0.0078,1.0062
0,0,0.9906
0,0,0.9828
0,-0.0078,1.014
0,-0.0156,1.0062
0,-0.0156,1.0218
0,-0.0156,1.0062
0.0078,-0.0156,0.9984
0,-0.0078,0.9984
0,-0.0078,1.0062
0,0,1.0842
0,0,1.014
0,-0.0156,1.0062
0,-0.0078,1.0218
0,-0.0078,1.0296
0,-0.0156,1.0296
0.0078,-0.0156,1.014
0.0078,-0.0156,1.014
0,0,0.9594
0,0.0078,0.9906
0,0.0078,1.0062
0.0078,0,1.014
0,-0.0078,0.9984
0,-0.0078,0.9984
0.0078,-0.0156,1.0062
0,-0.0156,0.9984
-0.0234,0.0078,1.0296
0,0,1.0062
0,-0.0078,1.014
0,0.0078,1.0296
