-1.014,0,0
-1.0218,0.0156,0.0468
-0.9984,0.0156,0.0234
-1.014,0.0234,0.0078
-1.014,0.0624,0
-1.014,0.0312,0.0234
-1.0062,0,0.0312
-1.014,-0.0078,0.0156
-1.014,0.0312,0
-1.014,-0.0078,0.0156
-1.0062,0.0078,0.0312
-1.014,0.0078,0.0078
-0.9906,0.0234,0
-1.0062,0.0078,0.0078
-1.014,0.0234,0
-1.0218,0.0234,0.0234
-1.0062,0,0.0156
-0.9984,0.0156,0.0468
-1.0062,0.0156,0.0468
-0.9984,0.0234,0
-1.014,0.0234,0.0078
-1.014,0.0078,0.0312
-1.014,0,0.0078
-1.0062,0.0156,0.0078
-1.0062,0.0156,-0.0624
-0.9984,0.0156,0.0468
-1.014,0.0156,0.0468
-1.0062,-0.0078,0.0234
-1.014,0.0078,0.0234
-0.9906,0,0.1014
-0.9984,0.0156,0.0078
-1.0062,0.0156,0.0078
-1.014,0.0234,0.0234
-1.014,0.0156,0
-1.0218,0.0234,0.0312
-1.014,0.0234,0.0078
-1.0062,0.0234,0
-1.014,0,0.0234
-1.014,0.0156,0.0234
-1.014,0.0234,0
-0.9984,0.0078,0.0468
-1.014,0.0156,0.0078
-1.0062,0.0156,0.0078
-1.0062,0,0.0702
-1.0062,0.0156,0
-0.9984,0,0.0156
-1.014,0.0078,0.0078
-1.014,0.0312,0.0312
-0.9984,-0.0078,-0.0468
-1.0062,0,0.039
-1.0062,0.0078,0.0078
-1.0218,0.0156,0.0312
-1.0062,0.0156,0.0624
-0.9906,0,0.0078
-1.0062,0,0.0312
-1.014,0.0078,0.0312
-1.0218,0.0234,0.0312
-0.9906,0.0078,0.0468
-1.014,0.0156,0.0234
-1.0062,0.0078,0.0312
-0.9906,-0.0078,0.0234
-1.014,0.0156,0.0234
-1.014,0.0312,0.0156
-1.014,0.0156,0.0156
-1.0062,0.0156,0.0078
-1.0062,0.0078,0.0078
-1.014,0.0234,0
-1.0062,0,-0.039
-1.014,0.0078,0.0156
-1.014,0.0078,0.0156
-1.014,0,0.0156
-1.014,0.0234,0.0624
-1.0062,0.0156,0.0468
-1.014,0.0234,0.0156
-1.0218,0.0156,0.0234
-1.0062,0.0234,0.0234
-1.014,0.0078,0.0312
-1.0218,0.0078,-0.0702
-1.0062,0.0156,0
-0.9906,-0.0078,0.0312
-0.9984,0.0156,0
-1.0062,0,0.0156
-0.9984,0.0078,0.0234
-1.014,0.0234,0.0546
-1.014,0.0078,-0.0936
-1.014,0.0156,0.0234
-1.014,0.0078,0
-0.9984,0.0156,0.0234
